t,[L2M],[D],[L],[L2MD],[L2Ms]
0.0000e+00,1.5000e+00,1.5000e+00,2.5000e+00,0.0000e+00,0.0000e+00
1.0000e+01,1.4744e+00,1.4829e+00,2.5060e+00,1.6856e-02,2.8253e-03
2.0000e+01,1.4548e+00,1.4662e+00,2.5060e+00,3.3568e-02,5.6585e-03
3.0000e+01,1.4357e+00,1.4498e+00,2.5060e+00,4.9878e-02,8.4550e-03
4.0000e+01,1.4170e+00,1.4338e+00,2.5060e+00,6.5801e-02,1.1216e-02
5.0000e+01,1.3987e+00,1.4182e+00,2.5060e+00,8.1348e-02,1.3941e-02
6.0000e+01,1.3809e+00,1.4030e+00,2.5060e+00,9.6534e-02,1.6632e-02
7.0000e+01,1.3634e+00,1.3881e+00,2.5060e+00,1.1137e-01,1.9290e-02
8.0000e+01,1.3463e+00,1.3735e+00,2.5060e+00,1.2587e-01,2.1914e-02
9.0000e+01,1.3295e+00,1.3593e+00,2.5060e+00,1.4004e-01,2.4507e-02
1.0000e+02,1.3131e+00,1.3454e+00,2.5060e+00,1.5389e-01,2.7067e-02
1.1000e+02,1.2970e+00,1.3318e+00,2.5060e+00,1.6744e-01,2.9597e-02
1.2000e+02,1.2813e+00,1.3185e+00,2.5060e+00,1.8069e-01,3.2097e-02
1.3000e+02,1.2658e+00,1.3055e+00,2.5060e+00,1.9365e-01,3.4567e-02
1.4000e+02,1.2507e+00,1.2927e+00,2.5060e+00,2.0633e-01,3.7007e-02
1.5000e+02,1.2359e+00,1.2803e+00,2.5060e+00,2.1875e-01,3.9419e-02
1.6000e+02,1.2213e+00,1.2681e+00,2.5060e+00,2.3090e-01,4.1803e-02
1.7000e+02,1.2071e+00,1.2561e+00,2.5060e+00,2.4280e-01,4.4160e-02
1.8000e+02,1.1931e+00,1.2444e+00,2.5060e+00,2.5445e-01,4.6489e-02
1.9000e+02,1.1794e+00,1.2330e+00,2.5060e+00,2.6586e-01,4.8793e-02
2.0000e+02,1.1659e+00,1.2218e+00,2.5060e+00,2.7704e-01,5.1070e-02
2.1000e+02,1.1527e+00,1.2108e+00,2.5060e+00,2.8799e-01,5.3321e-02
2.2000e+02,1.1398e+00,1.2000e+00,2.5060e+00,2.9873e-01,5.5548e-02
2.3000e+02,1.1270e+00,1.1894e+00,2.5060e+00,3.0925e-01,5.7750e-02
2.4000e+02,1.1145e+00,1.1791e+00,2.5060e+00,3.1957e-01,5.9928e-02
2.5000e+02,1.1023e+00,1.1689e+00,2.5060e+00,3.2969e-01,6.2082e-02
2.6000e+02,1.0902e+00,1.1590e+00,2.5060e+00,3.3961e-01,6.4213e-02
2.7000e+02,1.0784e+00,1.1492e+00,2.5060e+00,3.4934e-01,6.6321e-02
2.8000e+02,1.0667e+00,1.1396e+00,2.5060e+00,3.5889e-01,6.8406e-02
2.9000e+02,1.0553e+00,1.1302e+00,2.5060e+00,3.6826e-01,7.0469e-02
3.0000e+02,1.0441e+00,1.1210e+00,2.5060e+00,3.7745e-01,7.2511e-02
3.1000e+02,1.0330e+00,1.1119e+00,2.5060e+00,3.8647e-01,7.4531e-02
3.2000e+02,1.0222e+00,1.1030e+00,2.5060e+00,3.9533e-01,7.6530e-02
3.3000e+02,1.0115e+00,1.0943e+00,2.5060e+00,4.0402e-01,7.8509e-02
3.4000e+02,1.0010e+00,1.0857e+00,2.5060e+00,4.1256e-01,8.0467e-02
3.5000e+02,9.9069e-01,1.0773e+00,2.5060e+00,4.2095e-01,8.2405e-02
3.6000e+02,9.8053e-01,1.0690e+00,2.5060e+00,4.2918e-01,8.4324e-02
3.7000e+02,9.7054e-01,1.0609e+00,2.5060e+00,4.3727e-01,8.6223e-02
3.8000e+02,9.6071e-01,1.0529e+00,2.5060e+00,4.4522e-01,8.8103e-02
3.9000e+02,9.5104e-01,1.0451e+00,2.5060e+00,4.5303e-01,8.9964e-02
4.0000e+02,9.4152e-01,1.0374e+00,2.5060e+00,4.6071e-01,9.1807e-02
4.1000e+02,9.3215e-01,1.0298e+00,2.5060e+00,4.6825e-01,9.3632e-02
4.2000e+02,9.2293e-01,1.0224e+00,2.5060e+00,4.7567e-01,9.5439e-02
4.3000e+02,9.1385e-01,1.0151e+00,2.5060e+00,4.8296e-01,9.7228e-02
4.4000e+02,9.0491e-01,1.0079e+00,2.5060e+00,4.9013e-01,9.8999e-02
4.5000e+02,8.9611e-01,1.0008e+00,2.5060e+00,4.9718e-01,1.0075e-01
4.6000e+02,8.8744e-01,9.9382e-01,2.5060e+00,5.0411e-01,1.0249e-01
4.7000e+02,8.7889e-01,9.8698e-01,2.5060e+00,5.1093e-01,1.0421e-01
4.8000e+02,8.7048e-01,9.8024e-01,2.5060e+00,5.1764e-01,1.0592e-01
4.9000e+02,8.6219e-01,9.7362e-01,2.5060e+00,5.2424e-01,1.0761e-01
5.0000e+02,8.5403e-01,9.6710e-01,2.5060e+00,5.3073e-01,1.0928e-01
5.1000e+02,8.4598e-01,9.6068e-01,2.5060e+00,5.3712e-01,1.1094e-01
5.2000e+02,8.3805e-01,9.5437e-01,2.5060e+00,5.4341e-01,1.1258e-01
5.3000e+02,8.3023e-01,9.4816e-01,2.5060e+00,5.4960e-01,1.1421e-01
5.4000e+02,8.2252e-01,9.4204e-01,2.5060e+00,5.5570e-01,1.1582e-01
5.5000e+02,8.1493e-01,9.3602e-01,2.5060e+00,5.6169e-01,1.1741e-01
5.6000e+02,8.0744e-01,9.3009e-01,2.5060e+00,5.6760e-01,1.1900e-01
5.7000e+02,8.0006e-01,9.2425e-01,2.5060e+00,5.7342e-01,1.2057e-01
5.8000e+02,7.9278e-01,9.1850e-01,2.5060e+00,5.7914e-01,1.2212e-01
5.9000e+02,7.8560e-01,9.1284e-01,2.5060e+00,5.8478e-01,1.2366e-01
6.0000e+02,7.7851e-01,9.0726e-01,2.5060e+00,5.9034e-01,1.2519e-01
6.1000e+02,7.7153e-01,9.0177e-01,2.5060e+00,5.9581e-01,1.2670e-01
6.2000e+02,7.6464e-01,8.9635e-01,2.5060e+00,6.0120e-01,1.2820e-01
6.3000e+02,7.5784e-01,8.9102e-01,2.5060e+00,6.0652e-01,1.2968e-01
6.4000e+02,7.5113e-01,8.8577e-01,2.5060e+00,6.1175e-01,1.3116e-01
6.5000e+02,7.4452e-01,8.8059e-01,2.5060e+00,6.1691e-01,1.3262e-01
6.6000e+02,7.3798e-01,8.7549e-01,2.5060e+00,6.2199e-01,1.3406e-01
6.7000e+02,7.3154e-01,8.7046e-01,2.5060e+00,6.2700e-01,1.3550e-01
6.8000e+02,7.2518e-01,8.6550e-01,2.5060e+00,6.3194e-01,1.3692e-01
6.9000e+02,7.1890e-01,8.6061e-01,2.5060e+00,6.3681e-01,1.3833e-01
7.0000e+02,7.1270e-01,8.5580e-01,2.5060e+00,6.4161e-01,1.3973e-01
7.1000e+02,7.0659e-01,8.5105e-01,2.5060e+00,6.4634e-01,1.4111e-01
7.2000e+02,7.0055e-01,8.4636e-01,2.5060e+00,6.5100e-01,1.4249e-01
7.3000e+02,6.9458e-01,8.4174e-01,2.5060e+00,6.5560e-01,1.4385e-01
7.4000e+02,6.8869e-01,8.3719e-01,2.5060e+00,6.6014e-01,1.4520e-01
7.5000e+02,6.8288e-01,8.3270e-01,2.5060e+00,6.6462e-01,1.4654e-01
7.6000e+02,6.7714e-01,8.2826e-01,2.5060e+00,6.6903e-01,1.4787e-01
7.7000e+02,6.7147e-01,8.2389e-01,2.5060e+00,6.7338e-01,1.4919e-01
7.8000e+02,6.6586e-01,8.1958e-01,2.5060e+00,6.7768e-01,1.5049e-01
7.9000e+02,6.6033e-01,8.1533e-01,2.5060e+00,6.8192e-01,1.5179e-01
8.0000e+02,6.5486e-01,8.1113e-01,2.5060e+00,6.8610e-01,1.5308e-01
8.1000e+02,6.4946e-01,8.0699e-01,2.5060e+00,6.9022e-01,1.5435e-01
8.2000e+02,6.4413e-01,8.0290e-01,2.5060e+00,6.9429e-01,1.5561e-01
8.3000e+02,6.3886e-01,7.9887e-01,2.5060e+00,6.9831e-01,1.5687e-01
8.4000e+02,6.3365e-01,7.9489e-01,2.5060e+00,7.0228e-01,1.5811e-01
8.5000e+02,6.2850e-01,7.9096e-01,2.5060e+00,7.0619e-01,1.5935e-01
8.6000e+02,6.2342e-01,7.8708e-01,2.5060e+00,7.1005e-01,1.6057e-01
8.7000e+02,6.1839e-01,7.8326e-01,2.5060e+00,7.1386e-01,1.6178e-01
8.8000e+02,6.1342e-01,7.7948e-01,2.5060e+00,7.1763e-01,1.6299e-01
8.9000e+02,6.0851e-01,7.7575e-01,2.5060e+00,7.2135e-01,1.6418e-01
9.0000e+02,6.0365e-01,7.7206e-01,2.5060e+00,7.2501e-01,1.6537e-01
9.1000e+02,5.9886e-01,7.6843e-01,2.5060e+00,7.2864e-01,1.6654e-01
9.2000e+02,5.9411e-01,7.6483e-01,2.5060e+00,7.3222e-01,1.6771e-01
9.3000e+02,5.8942e-01,7.6129e-01,2.5060e+00,7.3575e-01,1.6887e-01
9.4000e+02,5.8478e-01,7.5779e-01,2.5060e+00,7.3924e-01,1.7002e-01
9.5000e+02,5.8020e-01,7.5433e-01,2.5060e+00,7.4268e-01,1.7116e-01
9.6000e+02,5.7566e-01,7.5091e-01,2.5060e+00,7.4609e-01,1.7229e-01
9.7000e+02,5.7118e-01,7.4753e-01,2.5060e+00,7.4945e-01,1.7341e-01
