t,[L2M],[D],[L],[L2MD],[L2Ms]
0.0000e+00,5.5000e+00,3.0250e+01,2.2500e+01,0.0000e+00,0.0000e+00
1.0000e+01,5.3586e+00,3.0112e+01,2.2502e+01,1.3783e-01,1.1417e-03
2.0000e+01,5.2235e+00,2.9978e+01,2.2502e+01,2.7184e-01,2.2568e-03
3.0000e+01,5.0923e+00,2.9848e+01,2.2502e+01,4.0194e-01,3.3440e-03
4.0000e+01,4.9649e+00,2.9721e+01,2.2502e+01,5.2825e-01,4.4043e-03
5.0000e+01,4.8412e+00,2.9599e+01,2.2502e+01,6.5092e-01,5.4383e-03
6.0000e+01,4.7210e+00,2.9479e+01,2.2502e+01,7.7008e-01,6.4467e-03
7.0000e+01,4.6043e+00,2.9364e+01,2.2502e+01,8.8585e-01,7.4304e-03
8.0000e+01,4.4908e+00,2.9251e+01,2.2502e+01,9.9834e-01,8.3900e-03
9.0000e+01,4.3806e+00,2.9142e+01,2.2502e+01,1.1077e+00,9.3262e-03
1.0000e+02,4.2734e+00,2.9035e+01,2.2502e+01,1.2139e+00,1.0240e-02
1.1000e+02,4.1692e+00,2.8932e+01,2.2502e+01,1.3173e+00,1.1131e-02
1.2000e+02,4.0678e+00,2.8832e+01,2.2502e+01,1.4177e+00,1.2000e-02
1.3000e+02,3.9693e+00,2.8734e+01,2.2502e+01,1.5155e+00,1.2849e-02
1.4000e+02,3.8734e+00,2.8639e+01,2.2502e+01,1.6105e+00,1.3677e-02
1.5000e+02,3.7801e+00,2.8546e+01,2.2502e+01,1.7030e+00,1.4486e-02
1.6000e+02,3.6893e+00,2.8456e+01,2.2502e+01,1.7929e+00,1.5275e-02
1.7000e+02,3.6010e+00,2.8369e+01,2.2502e+01,1.8805e+00,1.6045e-02
1.8000e+02,3.5151e+00,2.8283e+01,2.2502e+01,1.9657e+00,1.6797e-02
1.9000e+02,3.4314e+00,2.8200e+01,2.2502e+01,2.0486e+00,1.7532e-02
2.0000e+02,3.3499e+00,2.8120e+01,2.2502e+01,2.1294e+00,1.8249e-02
2.1000e+02,3.2706e+00,2.8041e+01,2.2502e+01,2.2080e+00,1.8949e-02
2.2000e+02,3.1934e+00,2.7964e+01,2.2502e+01,2.2846e+00,1.9632e-02
2.3000e+02,3.1181e+00,2.7890e+01,2.2502e+01,2.3591e+00,2.0299e-02
2.4000e+02,3.0449e+00,2.7817e+01,2.2502e+01,2.4317e+00,2.0951e-02
2.5000e+02,2.9735e+00,2.7746e+01,2.2502e+01,2.5025e+00,2.1588e-02
2.6000e+02,2.9039e+00,2.7677e+01,2.2502e+01,2.5714e+00,2.2210e-02
2.7000e+02,2.8362e+00,2.7610e+01,2.2502e+01,2.6386e+00,2.2817e-02
2.8000e+02,2.7701e+00,2.7545e+01,2.2502e+01,2.7040e+00,2.3410e-02
2.9000e+02,2.7058e+00,2.7481e+01,2.2502e+01,2.7678e+00,2.3990e-02
3.0000e+02,2.6431e+00,2.7419e+01,2.2502e+01,2.8299e+00,2.4556e-02
3.1000e+02,2.5819e+00,2.7358e+01,2.2502e+01,2.8905e+00,2.5109e-02
3.2000e+02,2.5223e+00,2.7299e+01,2.2502e+01,2.9496e+00,2.5649e-02
3.3000e+02,2.4642e+00,2.7241e+01,2.2502e+01,3.0072e+00,2.6177e-02
3.4000e+02,2.4075e+00,2.7185e+01,2.2502e+01,3.0633e+00,2.6693e-02
3.5000e+02,2.3523e+00,2.7130e+01,2.2502e+01,3.1181e+00,2.7197e-02
3.6000e+02,2.2984e+00,2.7077e+01,2.2502e+01,3.1715e+00,2.7690e-02
