t,[L2M],[D],[L],[L2MD],[L2Ms]
0.0000e+00,1.0000e+00,1.0000e+00,2.5000e+00,0.0000e+00,0.0000e+00
1.0000e+01,9.8654e-01,9.9233e-01,2.5040e+00,7.5825e-03,1.9029e-03
2.0000e+01,9.7705e-01,9.8472e-01,2.5040e+00,1.5155e-02,3.8179e-03
3.0000e+01,9.6771e-01,9.7725e-01,2.5040e+00,2.2599e-02,5.7149e-03
4.0000e+01,9.5851e-01,9.6991e-01,2.5040e+00,2.9917e-02,7.5939e-03
5.0000e+01,9.4945e-01,9.6268e-01,2.5040e+00,3.7113e-02,9.4554e-03
6.0000e+01,9.4053e-01,9.5558e-01,2.5040e+00,4.4188e-02,1.1299e-02
7.0000e+01,9.3175e-01,9.4859e-01,2.5040e+00,5.1146e-02,1.3127e-02
8.0000e+01,9.2309e-01,9.4172e-01,2.5040e+00,5.7991e-02,1.4937e-02
9.0000e+01,9.1457e-01,9.3496e-01,2.5040e+00,6.4723e-02,1.6730e-02
1.0000e+02,9.0617e-01,9.2832e-01,2.5040e+00,7.1347e-02,1.8508e-02
1.1000e+02,8.9789e-01,9.2177e-01,2.5040e+00,7.7864e-02,2.0269e-02
1.2000e+02,8.8973e-01,9.1534e-01,2.5040e+00,8.4277e-02,2.2014e-02
1.3000e+02,8.8169e-01,9.0900e-01,2.5040e+00,9.0589e-02,2.3744e-02
1.4000e+02,8.7376e-01,9.0276e-01,2.5040e+00,9.6801e-02,2.5458e-02
1.5000e+02,8.6595e-01,8.9663e-01,2.5040e+00,1.0292e-01,2.7157e-02
1.6000e+02,8.5825e-01,8.9058e-01,2.5040e+00,1.0894e-01,2.8841e-02
1.7000e+02,8.5065e-01,8.8463e-01,2.5040e+00,1.1486e-01,3.0511e-02
1.8000e+02,8.4316e-01,8.7877e-01,2.5040e+00,1.2070e-01,3.2165e-02
1.9000e+02,8.3577e-01,8.7300e-01,2.5040e+00,1.2645e-01,3.3806e-02
2.0000e+02,8.2848e-01,8.6732e-01,2.5040e+00,1.3211e-01,3.5432e-02
2.1000e+02,8.2130e-01,8.6172e-01,2.5040e+00,1.3768e-01,3.7044e-02
2.2000e+02,8.1421e-01,8.5621e-01,2.5040e+00,1.4317e-01,3.8642e-02
2.3000e+02,8.0721e-01,8.5078e-01,2.5040e+00,1.4858e-01,4.0227e-02
2.4000e+02,8.0031e-01,8.4543e-01,2.5040e+00,1.5391e-01,4.1798e-02
2.5000e+02,7.9350e-01,8.4016e-01,2.5040e+00,1.5917e-01,4.3356e-02
2.6000e+02,7.8678e-01,8.3496e-01,2.5040e+00,1.6434e-01,4.4901e-02
2.7000e+02,7.8015e-01,8.2984e-01,2.5040e+00,1.6944e-01,4.6433e-02
2.8000e+02,7.7360e-01,8.2479e-01,2.5040e+00,1.7447e-01,4.7952e-02
2.9000e+02,7.6714e-01,8.1982e-01,2.5040e+00,1.7943e-01,4.9459e-02
3.0000e+02,7.6076e-01,8.1491e-01,2.5040e+00,1.8431e-01,5.0953e-02
3.1000e+02,7.5446e-01,8.1008e-01,2.5040e+00,1.8913e-01,5.2435e-02
3.2000e+02,7.4824e-01,8.0531e-01,2.5040e+00,1.9388e-01,5.3904e-02
3.3000e+02,7.4210e-01,8.0061e-01,2.5040e+00,1.9856e-01,5.5362e-02
3.4000e+02,7.3604e-01,7.9598e-01,2.5040e+00,2.0318e-01,5.6808e-02
3.5000e+02,7.3005e-01,7.9141e-01,2.5040e+00,2.0773e-01,5.8242e-02
3.6000e+02,7.2414e-01,7.8690e-01,2.5040e+00,2.1222e-01,5.9665e-02
3.7000e+02,7.1830e-01,7.8245e-01,2.5040e+00,2.1665e-01,6.1076e-02
3.8000e+02,7.1253e-01,7.7806e-01,2.5040e+00,2.2102e-01,6.2476e-02
3.9000e+02,7.0683e-01,7.7374e-01,2.5040e+00,2.2533e-01,6.3865e-02
4.0000e+02,7.0120e-01,7.6947e-01,2.5040e+00,2.2958e-01,6.5243e-02
4.1000e+02,6.9563e-01,7.6525e-01,2.5040e+00,2.3378e-01,6.6610e-02
4.2000e+02,6.9014e-01,7.6110e-01,2.5040e+00,2.3792e-01,6.7966e-02
4.3000e+02,6.8471e-01,7.5700e-01,2.5040e+00,2.4201e-01,6.9312e-02
4.4000e+02,6.7934e-01,7.5295e-01,2.5040e+00,2.4604e-01,7.0647e-02
4.5000e+02,6.7403e-01,7.4895e-01,2.5040e+00,2.5002e-01,7.1972e-02
4.6000e+02,6.6879e-01,7.4501e-01,2.5040e+00,2.5395e-01,7.3286e-02
4.7000e+02,6.6361e-01,7.4112e-01,2.5040e+00,2.5782e-01,7.4591e-02
4.8000e+02,6.5849e-01,7.3727e-01,2.5040e+00,2.6165e-01,7.5885e-02
4.9000e+02,6.5342e-01,7.3348e-01,2.5040e+00,2.6543e-01,7.7170e-02
5.0000e+02,6.4842e-01,7.2974e-01,2.5040e+00,2.6916e-01,7.8445e-02
5.1000e+02,6.4347e-01,7.2604e-01,2.5040e+00,2.7284e-01,7.9710e-02
5.2000e+02,6.3858e-01,7.2239e-01,2.5040e+00,2.7648e-01,8.0965e-02
5.3000e+02,6.3374e-01,7.1878e-01,2.5040e+00,2.8007e-01,8.2211e-02
5.4000e+02,6.2896e-01,7.1522e-01,2.5040e+00,2.8362e-01,8.3448e-02
5.5000e+02,6.2422e-01,7.1170e-01,2.5040e+00,2.8712e-01,8.4675e-02
5.6000e+02,6.1955e-01,7.0823e-01,2.5040e+00,2.9058e-01,8.5894e-02
5.7000e+02,6.1492e-01,7.0480e-01,2.5040e+00,2.9400e-01,8.7103e-02
5.8000e+02,6.1034e-01,7.0141e-01,2.5040e+00,2.9738e-01,8.8303e-02
5.9000e+02,6.0582e-01,6.9806e-01,2.5040e+00,3.0071e-01,8.9495e-02
6.0000e+02,6.0134e-01,6.9475e-01,2.5040e+00,3.0401e-01,9.0677e-02
6.1000e+02,5.9691e-01,6.9149e-01,2.5040e+00,3.0726e-01,9.1851e-02
6.2000e+02,5.9253e-01,6.8826e-01,2.5040e+00,3.1048e-01,9.3017e-02
6.3000e+02,5.8819e-01,6.8507e-01,2.5040e+00,3.1365e-01,9.4174e-02
6.4000e+02,5.8390e-01,6.8191e-01,2.5040e+00,3.1680e-01,9.5322e-02
6.5000e+02,5.7966e-01,6.7880e-01,2.5040e+00,3.1990e-01,9.6463e-02
6.6000e+02,5.7546e-01,6.7572e-01,2.5040e+00,3.2297e-01,9.7595e-02
6.7000e+02,5.7131e-01,6.7268e-01,2.5040e+00,3.2600e-01,9.8719e-02
6.8000e+02,5.6720e-01,6.6967e-01,2.5040e+00,3.2899e-01,9.9835e-02
6.9000e+02,5.6313e-01,6.6670e-01,2.5040e+00,3.3195e-01,1.0094e-01
7.0000e+02,5.5910e-01,6.6376e-01,2.5040e+00,3.3488e-01,1.0204e-01
7.1000e+02,5.5511e-01,6.6085e-01,2.5040e+00,3.3777e-01,1.0313e-01
7.2000e+02,5.5117e-01,6.5798e-01,2.5040e+00,3.4063e-01,1.0422e-01
7.3000e+02,5.4726e-01,6.5514e-01,2.5040e+00,3.4346e-01,1.0530e-01
7.4000e+02,5.4340e-01,6.5234e-01,2.5040e+00,3.4626e-01,1.0637e-01
7.5000e+02,5.3957e-01,6.4956e-01,2.5040e+00,3.4902e-01,1.0743e-01
7.6000e+02,5.3578e-01,6.4682e-01,2.5040e+00,3.5176e-01,1.0848e-01
7.7000e+02,5.3203e-01,6.4410e-01,2.5040e+00,3.5446e-01,1.0953e-01
7.8000e+02,5.2832e-01,6.4142e-01,2.5040e+00,3.5713e-01,1.1057e-01
7.9000e+02,5.2464e-01,6.3876e-01,2.5040e+00,3.5978e-01,1.1160e-01
8.0000e+02,5.2100e-01,6.3614e-01,2.5040e+00,3.6239e-01,1.1263e-01
8.1000e+02,5.1740e-01,6.3354e-01,2.5040e+00,3.6498e-01,1.1364e-01
8.2000e+02,5.1383e-01,6.3098e-01,2.5040e+00,3.6754e-01,1.1466e-01
8.3000e+02,5.1029e-01,6.2844e-01,2.5040e+00,3.7007e-01,1.1566e-01
8.4000e+02,5.0679e-01,6.2592e-01,2.5040e+00,3.7257e-01,1.1666e-01
8.5000e+02,5.0333e-01,6.2344e-01,2.5040e+00,3.7505e-01,1.1765e-01
8.6000e+02,4.9990e-01,6.2098e-01,2.5040e+00,3.7749e-01,1.1863e-01
