t,[L2M],[D],[L],[L2MD],[L2Ms]
0.0000e+00,2.5000e+00,2.5000e+00,2.5000e+00,0.0000e+00,0.0000e+00
1.0000e+01,2.4397e+00,2.4537e+00,2.5099e+00,4.5731e-02,4.6156e-03
2.0000e+01,2.3904e+00,2.4088e+00,2.5099e+00,9.0441e-02,9.2124e-03
3.0000e+01,2.3429e+00,2.3656e+00,2.5099e+00,1.3349e-01,1.3720e-02
4.0000e+01,2.2970e+00,2.3240e+00,2.5099e+00,1.7497e-01,1.8141e-02
5.0000e+01,2.2526e+00,2.2839e+00,2.5099e+00,2.1495e-01,2.2480e-02
6.0000e+01,2.2098e+00,2.2452e+00,2.5099e+00,2.5352e-01,2.6737e-02
7.0000e+01,2.1684e+00,2.2078e+00,2.5099e+00,2.9075e-01,3.0917e-02
8.0000e+01,2.1284e+00,2.1717e+00,2.5099e+00,3.2670e-01,3.5021e-02
9.0000e+01,2.0896e+00,2.1368e+00,2.5099e+00,3.6144e-01,3.9052e-02
1.0000e+02,2.0520e+00,2.1031e+00,2.5099e+00,3.9503e-01,4.3013e-02
1.1000e+02,2.0157e+00,2.0705e+00,2.5099e+00,4.2752e-01,4.6904e-02
1.2000e+02,1.9804e+00,2.0390e+00,2.5099e+00,4.5896e-01,5.0729e-02
1.3000e+02,1.9462e+00,2.0084e+00,2.5099e+00,4.8940e-01,5.4489e-02
1.4000e+02,1.9130e+00,1.9788e+00,2.5099e+00,5.1889e-01,5.8187e-02
1.5000e+02,1.8808e+00,1.9501e+00,2.5099e+00,5.4746e-01,6.1823e-02
1.6000e+02,1.8495e+00,1.9223e+00,2.5099e+00,5.7517e-01,6.5400e-02
1.7000e+02,1.8191e+00,1.8953e+00,2.5099e+00,6.0204e-01,6.8919e-02
1.8000e+02,1.7896e+00,1.8692e+00,2.5099e+00,6.2812e-01,7.2383e-02
1.9000e+02,1.7609e+00,1.8438e+00,2.5099e+00,6.5344e-01,7.5791e-02
2.0000e+02,1.7329e+00,1.8191e+00,2.5099e+00,6.7802e-01,7.9147e-02
2.1000e+02,1.7057e+00,1.7951e+00,2.5099e+00,7.0191e-01,8.2451e-02
2.2000e+02,1.6793e+00,1.7718e+00,2.5099e+00,7.2512e-01,8.5704e-02
2.3000e+02,1.6535e+00,1.7492e+00,2.5099e+00,7.4769e-01,8.8909e-02
2.4000e+02,1.6284e+00,1.7271e+00,2.5099e+00,7.6963e-01,9.2065e-02
2.5000e+02,1.6039e+00,1.7057e+00,2.5099e+00,7.9099e-01,9.5175e-02
2.6000e+02,1.5801e+00,1.6848e+00,2.5099e+00,8.1177e-01,9.8240e-02
2.7000e+02,1.5568e+00,1.6645e+00,2.5099e+00,8.3200e-01,1.0126e-01
2.8000e+02,1.5341e+00,1.6447e+00,2.5099e+00,8.5171e-01,1.0424e-01
2.9000e+02,1.5120e+00,1.6255e+00,2.5099e+00,8.7090e-01,1.0717e-01
3.0000e+02,1.4904e+00,1.6067e+00,2.5099e+00,8.8960e-01,1.1006e-01
3.1000e+02,1.4693e+00,1.5884e+00,2.5099e+00,9.0784e-01,1.1292e-01
3.2000e+02,1.4487e+00,1.5706e+00,2.5099e+00,9.2561e-01,1.1573e-01
3.3000e+02,1.4286e+00,1.5532e+00,2.5099e+00,9.4295e-01,1.1851e-01
3.4000e+02,1.4090e+00,1.5362e+00,2.5099e+00,9.5987e-01,1.2124e-01
3.5000e+02,1.3898e+00,1.5196e+00,2.5099e+00,9.7637e-01,1.2394e-01
3.6000e+02,1.3710e+00,1.5034e+00,2.5099e+00,9.9249e-01,1.2661e-01
3.7000e+02,1.3526e+00,1.4876e+00,2.5099e+00,1.0082e+00,1.2924e-01
3.8000e+02,1.3347e+00,1.4722e+00,2.5099e+00,1.0236e+00,1.3183e-01
3.9000e+02,1.3171e+00,1.4572e+00,2.5099e+00,1.0386e+00,1.3439e-01
4.0000e+02,1.2999e+00,1.4424e+00,2.5099e+00,1.0533e+00,1.3692e-01
4.1000e+02,1.2831e+00,1.4281e+00,2.5099e+00,1.0676e+00,1.3942e-01
4.2000e+02,1.2666e+00,1.4140e+00,2.5099e+00,1.0816e+00,1.4188e-01
4.3000e+02,1.2505e+00,1.4002e+00,2.5099e+00,1.0953e+00,1.4432e-01
4.4000e+02,1.2347e+00,1.3868e+00,2.5099e+00,1.1087e+00,1.4672e-01
4.5000e+02,1.2192e+00,1.3736e+00,2.5099e+00,1.1218e+00,1.4909e-01
4.6000e+02,1.2040e+00,1.3608e+00,2.5099e+00,1.1346e+00,1.5144e-01
4.7000e+02,1.1892e+00,1.3482e+00,2.5099e+00,1.1472e+00,1.5375e-01
4.8000e+02,1.1746e+00,1.3359e+00,2.5099e+00,1.1594e+00,1.5604e-01
4.9000e+02,1.1603e+00,1.3238e+00,2.5099e+00,1.1715e+00,1.5830e-01
5.0000e+02,1.1463e+00,1.3120e+00,2.5099e+00,1.1832e+00,1.6053e-01
5.1000e+02,1.1326e+00,1.3004e+00,2.5099e+00,1.1948e+00,1.6274e-01
5.2000e+02,1.1191e+00,1.2891e+00,2.5099e+00,1.2061e+00,1.6492e-01
5.3000e+02,1.1059e+00,1.2779e+00,2.5099e+00,1.2171e+00,1.6707e-01
5.4000e+02,1.0929e+00,1.2671e+00,2.5099e+00,1.2280e+00,1.6920e-01
5.5000e+02,1.0802e+00,1.2564e+00,2.5099e+00,1.2386e+00,1.7131e-01
5.6000e+02,1.0677e+00,1.2459e+00,2.5099e+00,1.2490e+00,1.7339e-01
