t,[L2M],[D],[L],[L2MD],[L2Ms]
0.0000e+00,5.0000e+00,1.5000e+01,1.7500e+01,0.0000e+00,0.0000e+00
1.0000e+01,4.9141e+00,1.4918e+01,1.7503e+01,8.1634e-02,1.3643e-03
2.0000e+01,4.8328e+00,1.4838e+01,1.7503e+01,1.6167e-01,2.7092e-03
3.0000e+01,4.7531e+00,1.4760e+01,1.7503e+01,2.3999e-01,4.0321e-03
4.0000e+01,4.6752e+00,1.4683e+01,1.7503e+01,3.1662e-01,5.3335e-03
5.0000e+01,4.5989e+00,1.4608e+01,1.7503e+01,3.9163e-01,6.6139e-03
6.0000e+01,4.5242e+00,1.4535e+01,1.7503e+01,4.6505e-01,7.8736e-03
7.0000e+01,4.4511e+00,1.4463e+01,1.7503e+01,5.3693e-01,9.1131e-03
8.0000e+01,4.3795e+00,1.4392e+01,1.7503e+01,6.0732e-01,1.0333e-02
9.0000e+01,4.3094e+00,1.4323e+01,1.7503e+01,6.7626e-01,1.1533e-02
1.0000e+02,4.2407e+00,1.4256e+01,1.7503e+01,7.4378e-01,1.2714e-02
1.1000e+02,4.1733e+00,1.4190e+01,1.7503e+01,8.0992e-01,1.3877e-02
1.2000e+02,4.1074e+00,1.4125e+01,1.7503e+01,8.7473e-01,1.5021e-02
1.3000e+02,4.0428e+00,1.4061e+01,1.7503e+01,9.3824e-01,1.6148e-02
1.4000e+02,3.9794e+00,1.3999e+01,1.7503e+01,1.0005e+00,1.7257e-02
1.5000e+02,3.9173e+00,1.3938e+01,1.7503e+01,1.0615e+00,1.8349e-02
1.6000e+02,3.8564e+00,1.3878e+01,1.7503e+01,1.1213e+00,1.9424e-02
1.7000e+02,3.7967e+00,1.3819e+01,1.7503e+01,1.1799e+00,2.0482e-02
1.8000e+02,3.7382e+00,1.3762e+01,1.7503e+01,1.2374e+00,2.1524e-02
1.9000e+02,3.6808e+00,1.3705e+01,1.7503e+01,1.2938e+00,2.2551e-02
