t,[L2M],[D],[L],[L2MD],[L2Ms]
0.0000e+00,3.0000e+00,1.2000e+01,1.5000e+01,0.0000e+00,0.0000e+00
1.0000e+01,2.9512e+00,1.1954e+01,1.5002e+01,4.5847e-02,9.5697e-04
2.0000e+01,2.9052e+00,1.1909e+01,1.5002e+01,9.0930e-02,1.9016e-03
3.0000e+01,2.8600e+00,1.1865e+01,1.5002e+01,1.3515e-01,2.8316e-03
4.0000e+01,2.8157e+00,1.1821e+01,1.5002e+01,1.7853e-01,3.7473e-03
5.0000e+01,2.7723e+00,1.1779e+01,1.5002e+01,2.2109e-01,4.6490e-03
6.0000e+01,2.7296e+00,1.1737e+01,1.5002e+01,2.6284e-01,5.5368e-03
7.0000e+01,2.6878e+00,1.1696e+01,1.5002e+01,3.0382e-01,6.4111e-03
8.0000e+01,2.6467e+00,1.1656e+01,1.5002e+01,3.4403e-01,7.2721e-03
9.0000e+01,2.6064e+00,1.1616e+01,1.5002e+01,3.8350e-01,8.1201e-03
1.0000e+02,2.5668e+00,1.1577e+01,1.5002e+01,4.2224e-01,8.9552e-03
1.1000e+02,2.5280e+00,1.1539e+01,1.5002e+01,4.6027e-01,9.7778e-03
1.2000e+02,2.4898e+00,1.1502e+01,1.5002e+01,4.9761e-01,1.0588e-02
1.3000e+02,2.4523e+00,1.1465e+01,1.5002e+01,5.3427e-01,1.1386e-02
1.4000e+02,2.4156e+00,1.1429e+01,1.5002e+01,5.7026e-01,1.2172e-02
1.5000e+02,2.3794e+00,1.1394e+01,1.5002e+01,6.0562e-01,1.2947e-02
1.6000e+02,2.3440e+00,1.1359e+01,1.5002e+01,6.4034e-01,1.3710e-02
1.7000e+02,2.3091e+00,1.1325e+01,1.5002e+01,6.7444e-01,1.4461e-02
1.8000e+02,2.2749e+00,1.1292e+01,1.5002e+01,7.0794e-01,1.5202e-02
1.9000e+02,2.2412e+00,1.1259e+01,1.5002e+01,7.4085e-01,1.5932e-02
2.0000e+02,2.2082e+00,1.1226e+01,1.5002e+01,7.7318e-01,1.6651e-02
2.1000e+02,2.1757e+00,1.1194e+01,1.5002e+01,8.0495e-01,1.7359e-02
2.2000e+02,2.1438e+00,1.1163e+01,1.5002e+01,8.3616e-01,1.8057e-02
2.3000e+02,2.1124e+00,1.1133e+01,1.5002e+01,8.6684e-01,1.8745e-02
2.4000e+02,2.0816e+00,1.1102e+01,1.5002e+01,8.9698e-01,1.9423e-02
2.5000e+02,2.0513e+00,1.1073e+01,1.5002e+01,9.2661e-01,2.0091e-02
2.6000e+02,2.0215e+00,1.1044e+01,1.5002e+01,9.5574e-01,2.0749e-02
2.7000e+02,1.9922e+00,1.1015e+01,1.5002e+01,9.8437e-01,2.1398e-02
2.8000e+02,1.9635e+00,1.0987e+01,1.5002e+01,1.0125e+00,2.2038e-02
2.9000e+02,1.9352e+00,1.0959e+01,1.5002e+01,1.0402e+00,2.2668e-02
3.0000e+02,1.9073e+00,1.0932e+01,1.5002e+01,1.0674e+00,2.3290e-02
3.1000e+02,1.8800e+00,1.0905e+01,1.5002e+01,1.0941e+00,2.3902e-02
3.2000e+02,1.8531e+00,1.0879e+01,1.5002e+01,1.1204e+00,2.4506e-02
3.3000e+02,1.8266e+00,1.0853e+01,1.5002e+01,1.1463e+00,2.5101e-02
3.4000e+02,1.8006e+00,1.0827e+01,1.5002e+01,1.1717e+00,2.5688e-02
3.5000e+02,1.7750e+00,1.0802e+01,1.5002e+01,1.1968e+00,2.6266e-02
3.6000e+02,1.7498e+00,1.0778e+01,1.5002e+01,1.2214e+00,2.6836e-02
3.7000e+02,1.7250e+00,1.0754e+01,1.5002e+01,1.2456e+00,2.7399e-02
3.8000e+02,1.7006e+00,1.0730e+01,1.5002e+01,1.2694e+00,2.7953e-02
3.9000e+02,1.6767e+00,1.0706e+01,1.5002e+01,1.2928e+00,2.8499e-02
4.0000e+02,1.6531e+00,1.0683e+01,1.5002e+01,1.3159e+00,2.9038e-02
4.1000e+02,1.6299e+00,1.0661e+01,1.5002e+01,1.3386e+00,2.9569e-02
4.2000e+02,1.6070e+00,1.0638e+01,1.5002e+01,1.3609e+00,3.0093e-02
4.3000e+02,1.5846e+00,1.0616e+01,1.5002e+01,1.3828e+00,3.0610e-02
4.4000e+02,1.5624e+00,1.0595e+01,1.5002e+01,1.4044e+00,3.1119e-02
4.5000e+02,1.5407e+00,1.0573e+01,1.5002e+01,1.4257e+00,3.1621e-02
4.6000e+02,1.5193e+00,1.0552e+01,1.5002e+01,1.4466e+00,3.2117e-02
4.7000e+02,1.4982e+00,1.0532e+01,1.5002e+01,1.4672e+00,3.2605e-02
4.8000e+02,1.4774e+00,1.0511e+01,1.5002e+01,1.4875e+00,3.3087e-02
4.9000e+02,1.4570e+00,1.0492e+01,1.5002e+01,1.5075e+00,3.3562e-02
5.0000e+02,1.4369e+00,1.0472e+01,1.5002e+01,1.5271e+00,3.4031e-02
5.1000e+02,1.4171e+00,1.0453e+01,1.5002e+01,1.5464e+00,3.4493e-02
5.2000e+02,1.3976e+00,1.0433e+01,1.5002e+01,1.5655e+00,3.4948e-02
5.3000e+02,1.3784e+00,1.0415e+01,1.5002e+01,1.5842e+00,3.5398e-02
5.4000e+02,1.3595e+00,1.0396e+01,1.5002e+01,1.6027e+00,3.5841e-02
