t,[L2M],[D],[L],[L2MD],[L2Ms]
0.0000e+00,3.5000e+00,3.5000e+00,5.0000e+00,0.0000e+00,0.0000e+00
1.0000e+01,3.4434e+00,3.4534e+00,5.0070e+00,4.6317e-02,3.3305e-03
2.0000e+01,3.3946e+00,3.4079e+00,5.0070e+00,9.1746e-02,6.6408e-03
3.0000e+01,3.3472e+00,3.3636e+00,5.0070e+00,1.3597e-01,9.9058e-03
4.0000e+01,3.3009e+00,3.3205e+00,5.0070e+00,1.7902e-01,1.3126e-02
5.0000e+01,3.2558e+00,3.2784e+00,5.0070e+00,2.2096e-01,1.6304e-02
6.0000e+01,3.2118e+00,3.2375e+00,5.0070e+00,2.6182e-01,1.9439e-02
7.0000e+01,3.1689e+00,3.1976e+00,5.0070e+00,3.0164e-01,2.2533e-02
8.0000e+01,3.1270e+00,3.1587e+00,5.0070e+00,3.4046e-01,2.5587e-02
9.0000e+01,3.0861e+00,3.1208e+00,5.0070e+00,3.7833e-01,2.8602e-02
1.0000e+02,3.0462e+00,3.0838e+00,5.0070e+00,4.1526e-01,3.1578e-02
1.1000e+02,3.0072e+00,3.0477e+00,5.0070e+00,4.5130e-01,3.4517e-02
1.2000e+02,2.9691e+00,3.0124e+00,5.0070e+00,4.8648e-01,3.7419e-02
1.3000e+02,2.9319e+00,2.9780e+00,5.0070e+00,5.2082e-01,4.0285e-02
1.4000e+02,2.8955e+00,2.9444e+00,5.0070e+00,5.5436e-01,4.3117e-02
1.5000e+02,2.8600e+00,2.9116e+00,5.0070e+00,5.8712e-01,4.5914e-02
1.6000e+02,2.8252e+00,2.8795e+00,5.0070e+00,6.1914e-01,4.8678e-02
1.7000e+02,2.7912e+00,2.8482e+00,5.0070e+00,6.5042e-01,5.1409e-02
1.8000e+02,2.7579e+00,2.8175e+00,5.0070e+00,6.8100e-01,5.4108e-02
1.9000e+02,2.7253e+00,2.7876e+00,5.0070e+00,7.1091e-01,5.6775e-02
2.0000e+02,2.6935e+00,2.7583e+00,5.0070e+00,7.4016e-01,5.9412e-02
2.1000e+02,2.6622e+00,2.7296e+00,5.0070e+00,7.6877e-01,6.2019e-02
2.2000e+02,2.6317e+00,2.7015e+00,5.0070e+00,7.9676e-01,6.4596e-02
2.3000e+02,2.6017e+00,2.6741e+00,5.0070e+00,8.2416e-01,6.7144e-02
2.4000e+02,2.5724e+00,2.6472e+00,5.0070e+00,8.5098e-01,6.9664e-02
2.5000e+02,2.5436e+00,2.6209e+00,5.0070e+00,8.7724e-01,7.2156e-02
2.6000e+02,2.5155e+00,2.5951e+00,5.0070e+00,9.0295e-01,7.4621e-02
2.7000e+02,2.4878e+00,2.5699e+00,5.0070e+00,9.2814e-01,7.7059e-02
2.8000e+02,2.4607e+00,2.5452e+00,5.0070e+00,9.5281e-01,7.9471e-02
2.9000e+02,2.4342e+00,2.5210e+00,5.0070e+00,9.7699e-01,8.1857e-02
3.0000e+02,2.4081e+00,2.4972e+00,5.0070e+00,1.0007e+00,8.4219e-02
3.1000e+02,2.3825e+00,2.4739e+00,5.0070e+00,1.0239e+00,8.6555e-02
3.2000e+02,2.3575e+00,2.4511e+00,5.0070e+00,1.0467e+00,8.8867e-02
3.3000e+02,2.3328e+00,2.4287e+00,5.0070e+00,1.0690e+00,9.1155e-02
3.4000e+02,2.3087e+00,2.4068e+00,5.0070e+00,1.0909e+00,9.3420e-02
3.5000e+02,2.2849e+00,2.3853e+00,5.0070e+00,1.1124e+00,9.5662e-02
3.6000e+02,2.2616e+00,2.3642e+00,5.0070e+00,1.1335e+00,9.7881e-02
3.7000e+02,2.2388e+00,2.3434e+00,5.0070e+00,1.1542e+00,1.0008e-01
3.8000e+02,2.2163e+00,2.3231e+00,5.0070e+00,1.1745e+00,1.0225e-01
3.9000e+02,2.1942e+00,2.3031e+00,5.0070e+00,1.1944e+00,1.0441e-01
4.0000e+02,2.1725e+00,2.2835e+00,5.0070e+00,1.2140e+00,1.0654e-01
4.1000e+02,2.1512e+00,2.2643e+00,5.0070e+00,1.2332e+00,1.0865e-01
4.2000e+02,2.1302e+00,2.2454e+00,5.0070e+00,1.2521e+00,1.1074e-01
4.3000e+02,2.1096e+00,2.2268e+00,5.0070e+00,1.2706e+00,1.1282e-01
4.4000e+02,2.0894e+00,2.2086e+00,5.0070e+00,1.2888e+00,1.1487e-01
4.5000e+02,2.0694e+00,2.1906e+00,5.0070e+00,1.3067e+00,1.1690e-01
4.6000e+02,2.0499e+00,2.1730e+00,5.0070e+00,1.3243e+00,1.1891e-01
4.7000e+02,2.0306e+00,2.1557e+00,5.0070e+00,1.3415e+00,1.2091e-01
4.8000e+02,2.0116e+00,2.1387e+00,5.0070e+00,1.3585e+00,1.2289e-01
4.9000e+02,1.9930e+00,2.1220e+00,5.0070e+00,1.3752e+00,1.2484e-01
5.0000e+02,1.9746e+00,2.1056e+00,5.0070e+00,1.3916e+00,1.2678e-01
5.1000e+02,1.9566e+00,2.0894e+00,5.0070e+00,1.4077e+00,1.2871e-01
5.2000e+02,1.9388e+00,2.0735e+00,5.0070e+00,1.4236e+00,1.3061e-01
5.3000e+02,1.9213e+00,2.0579e+00,5.0070e+00,1.4392e+00,1.3250e-01
5.4000e+02,1.9041e+00,2.0425e+00,5.0070e+00,1.4546e+00,1.3437e-01
5.5000e+02,1.8871e+00,2.0273e+00,5.0070e+00,1.4697e+00,1.3623e-01
5.6000e+02,1.8704e+00,2.0125e+00,5.0070e+00,1.4845e+00,1.3807e-01
5.7000e+02,1.8540e+00,1.9978e+00,5.0070e+00,1.4991e+00,1.3989e-01
5.8000e+02,1.8378e+00,1.9834e+00,5.0070e+00,1.5135e+00,1.4170e-01
5.9000e+02,1.8218e+00,1.9692e+00,5.0070e+00,1.5277e+00,1.4349e-01
6.0000e+02,1.8061e+00,1.9552e+00,5.0070e+00,1.5416e+00,1.4527e-01
6.1000e+02,1.7906e+00,1.9415e+00,5.0070e+00,1.5554e+00,1.4703e-01
6.2000e+02,1.7754e+00,1.9279e+00,5.0070e+00,1.5689e+00,1.4878e-01
6.3000e+02,1.7603e+00,1.9146e+00,5.0070e+00,1.5822e+00,1.5051e-01
6.4000e+02,1.7455e+00,1.9015e+00,5.0070e+00,1.5953e+00,1.5222e-01
6.5000e+02,1.7309e+00,1.8885e+00,5.0070e+00,1.6082e+00,1.5393e-01
6.6000e+02,1.7165e+00,1.8758e+00,5.0070e+00,1.6209e+00,1.5562e-01
6.7000e+02,1.7023e+00,1.8632e+00,5.0070e+00,1.6335e+00,1.5729e-01
6.8000e+02,1.6883e+00,1.8509e+00,5.0070e+00,1.6458e+00,1.5895e-01
6.9000e+02,1.6744e+00,1.8387e+00,5.0070e+00,1.6580e+00,1.6060e-01
7.0000e+02,1.6608e+00,1.8267e+00,5.0070e+00,1.6700e+00,1.6224e-01
7.1000e+02,1.6474e+00,1.8148e+00,5.0070e+00,1.6818e+00,1.6386e-01
7.2000e+02,1.6341e+00,1.8032e+00,5.0070e+00,1.6934e+00,1.6547e-01
7.3000e+02,1.6211e+00,1.7917e+00,5.0070e+00,1.7049e+00,1.6706e-01
7.4000e+02,1.6082e+00,1.7803e+00,5.0070e+00,1.7162e+00,1.6865e-01
7.5000e+02,1.5955e+00,1.7692e+00,5.0070e+00,1.7274e+00,1.7022e-01
7.6000e+02,1.5829e+00,1.7581e+00,5.0070e+00,1.7384e+00,1.7178e-01
7.7000e+02,1.5705e+00,1.7473e+00,5.0070e+00,1.7492e+00,1.7332e-01
7.8000e+02,1.5583e+00,1.7366e+00,5.0070e+00,1.7599e+00,1.7486e-01
