t,[L2M],[D],[L],[L2MD],[L2Ms]
0.0000e+00,5.0000e+00,1.5000e+01,1.2500e+01,0.0000e+00,0.0000e+00
1.0000e+01,4.8820e+00,1.4888e+01,1.2504e+01,1.1214e-01,1.8761e-03
2.0000e+01,4.7710e+00,1.4778e+01,1.2504e+01,2.2130e-01,3.7158e-03
3.0000e+01,4.6632e+00,1.4672e+01,1.2504e+01,3.2724e-01,5.5144e-03
4.0000e+01,4.5586e+00,1.4569e+01,1.2504e+01,4.3010e-01,7.2731e-03
5.0000e+01,4.4570e+00,1.4469e+01,1.2504e+01,5.2999e-01,8.9930e-03
6.0000e+01,4.3583e+00,1.4372e+01,1.2504e+01,6.2702e-01,1.0675e-02
7.0000e+01,4.2624e+00,1.4278e+01,1.2504e+01,7.2131e-01,1.2321e-02
8.0000e+01,4.1691e+00,1.4186e+01,1.2504e+01,8.1296e-01,1.3931e-02
9.0000e+01,4.0784e+00,1.4097e+01,1.2504e+01,9.0207e-01,1.5506e-02
1.0000e+02,3.9902e+00,1.4010e+01,1.2504e+01,9.8872e-01,1.7047e-02
1.1000e+02,3.9044e+00,1.3926e+01,1.2504e+01,1.0730e+00,1.8556e-02
1.2000e+02,3.8210e+00,1.3844e+01,1.2504e+01,1.1550e+00,2.0032e-02
1.3000e+02,3.7397e+00,1.3764e+01,1.2504e+01,1.2348e+00,2.1478e-02
1.4000e+02,3.6606e+00,1.3686e+01,1.2504e+01,1.3125e+00,2.2893e-02
1.5000e+02,3.5835e+00,1.3611e+01,1.2504e+01,1.3882e+00,2.4279e-02
1.6000e+02,3.5085e+00,1.3537e+01,1.2504e+01,1.4619e+00,2.5636e-02
1.7000e+02,3.4354e+00,1.3465e+01,1.2504e+01,1.5336e+00,2.6964e-02
1.8000e+02,3.3642e+00,1.3395e+01,1.2504e+01,1.6035e+00,2.8266e-02
1.9000e+02,3.2948e+00,1.3327e+01,1.2504e+01,1.6717e+00,2.9541e-02
2.0000e+02,3.2271e+00,1.3260e+01,1.2504e+01,1.7381e+00,3.0790e-02
2.1000e+02,3.1612e+00,1.3196e+01,1.2504e+01,1.8028e+00,3.2013e-02
2.2000e+02,3.0969e+00,1.3132e+01,1.2504e+01,1.8659e+00,3.3212e-02
2.3000e+02,3.0341e+00,1.3071e+01,1.2504e+01,1.9275e+00,3.4387e-02
2.4000e+02,2.9729e+00,1.3011e+01,1.2504e+01,1.9875e+00,3.5538e-02
