t,[L2M],[D],[L],[L2MD],[L2Ms]
0.0000e+00,2.5000e+00,1.1250e+01,1.2500e+01,0.0000e+00,0.0000e+00
1.0000e+01,2.4543e+00,1.1207e+01,1.2502e+01,4.2736e-02,9.5149e-04
2.0000e+01,2.4114e+00,1.1165e+01,1.2502e+01,8.4703e-02,1.8894e-03
3.0000e+01,2.3694e+00,1.1124e+01,1.2502e+01,1.2579e-01,2.8111e-03
4.0000e+01,2.3283e+00,1.1084e+01,1.2502e+01,1.6602e-01,3.7169e-03
5.0000e+01,2.2880e+00,1.1044e+01,1.2502e+01,2.0542e-01,4.6070e-03
6.0000e+01,2.2485e+00,1.1006e+01,1.2502e+01,2.4400e-01,5.4819e-03
7.0000e+01,2.2099e+00,1.0968e+01,1.2502e+01,2.8179e-01,6.3419e-03
8.0000e+01,2.1720e+00,1.0931e+01,1.2502e+01,3.1881e-01,7.1871e-03
9.0000e+01,2.1349e+00,1.0895e+01,1.2502e+01,3.5508e-01,8.0180e-03
1.0000e+02,2.0985e+00,1.0859e+01,1.2502e+01,3.9062e-01,8.8349e-03
1.1000e+02,2.0629e+00,1.0824e+01,1.2502e+01,4.2545e-01,9.6379e-03
1.2000e+02,2.0280e+00,1.0790e+01,1.2502e+01,4.5957e-01,1.0427e-02
1.3000e+02,1.9938e+00,1.0757e+01,1.2502e+01,4.9302e-01,1.1204e-02
1.4000e+02,1.9602e+00,1.0724e+01,1.2502e+01,5.2581e-01,1.1967e-02
1.5000e+02,1.9273e+00,1.0692e+01,1.2502e+01,5.5796e-01,1.2717e-02
1.6000e+02,1.8951e+00,1.0660e+01,1.2502e+01,5.8947e-01,1.3455e-02
1.7000e+02,1.8634e+00,1.0629e+01,1.2502e+01,6.2037e-01,1.4181e-02
1.8000e+02,1.8324e+00,1.0599e+01,1.2502e+01,6.5067e-01,1.4895e-02
1.9000e+02,1.8020e+00,1.0569e+01,1.2502e+01,6.8039e-01,1.5597e-02
